Domain_Code,Domain,Area_Code_(M49),Area,Element_Code,Element,Item_Code,Item,Year_Code,Year,Unit,Value,Flag,Flag_Description,Note
OA,Annual population,233,Estonia,513,Total Population - Female,3010,Population - Est. & Proj.,2018,2018,1000 persons,698.747,X,Figure from international organizations,
OA,Annual population,233,Estonia,513,Total Population - Female,3010,Population - Est. & Proj.,2019,2019,1000 persons,699.545,X,Figure from international organizations,
OA,Annual population,233,Estonia,513,Total Population - Female,3010,Population - Est. & Proj.,2020,2020,1000 persons,699.604,X,Figure from international organizations,
OA,Annual population,246,Finland,513,Total Population - Female,3010,Population - Est. & Proj.,2015,2015,1000 persons,2782.792,X,Figure from international organizations,
OA,Annual population,246,Finland,513,Total Population - Female,3010,Population - Est. & Proj.,2016,2016,1000 persons,2788.326,X,Figure from international organizations,
OA,Annual population,246,Finland,513,Total Population - Female,3010,Population - Est. & Proj.,2017,2017,1000 persons,2792.423,X,Figure from international organizations,
OA,Annual population,246,Finland,513,Total Population - Female,3010,Population - Est. & Proj.,2018,2018,1000 persons,2794.26,X,Figure from international organizations,
OA,Annual population,246,Finland,513,Total Population - Female,3010,Population - Est. & Proj.,2019,2019,1000 persons,2795.778,X,Figure from international organizations,
OA,Annual population,246,Finland,513,Total Population - Female,3010,Population - Est. & Proj.,2020,2020,1000 persons,2798.45,X,Figure from international organizations,
OA,Annual population,250,France,513,Total Population - Female,3010,Population - Est. & Proj.,2015,2015,1000 persons,32945.13,X,Figure from international organizations,
OA,Annual population,250,France,513,Total Population - Female,3010,Population - Est. & Proj.,2016,2016,1000 persons,33040.543,X,Figure from international organizations,
OA,Annual population,250,France,513,Total Population - Female,3010,Population - Est. & Proj.,2017,2017,1000 persons,33122.401,X,Figure from international organizations,
OA,Annual population,250,France,513,Total Population - Female,3010,Population - Est. & Proj.,2018,2018,1000 persons,33193.119,X,Figure from international organizations,
OA,Annual population,250,France,513,Total Population - Female,3010,Population - Est. & Proj.,2019,2019,1000 persons,33258.507,X,Figure from international organizations,
OA,Annual population,250,France,513,Total Population - Female,3010,Population - Est. & Proj.,2020,2020,1000 persons,33303.876,X,Figure from international organizations,
OA,Annual population,276,Germany,513,Total Population - Female,3010,Population - Est. & Proj.,2015,2015,1000 persons,41637.85,X,Figure from international organizations,
OA,Annual population,276,Germany,513,Total Population - Female,3010,Population - Est. & Proj.,2016,2016,1000 persons,41741.679,X,Figure from international organizations,
OA,Annual population,276,Germany,513,Total Population - Female,3010,Population - Est. & Proj.,2017,2017,1000 persons,41873.558,X,Figure from international organizations,
OA,Annual population,276,Germany,513,Total Population - Female,3010,Population - Est. & Proj.,2018,2018,1000 persons,42001.866,X,Figure from international organizations,
OA,Annual population,276,Germany,513,Total Population - Female,3010,Population - Est. & Proj.,2019,2019,1000 persons,42124.562,X,Figure from international organizations,
OA,Annual population,276,Germany,513,Total Population - Female,3010,Population - Est. & Proj.,2020,2020,1000 persons,42213.517,X,Figure from international organizations,
OA,Annual population,300,Greece,513,Total Population - Female,3010,Population - Est. & Proj.,2015,2015,1000 persons,5501.215,X,Figure from international organizations,
OA,Annual population,300,Greece,513,Total Population - Female,3010,Population - Est. & Proj.,2016,2016,1000 persons,5475.726,X,Figure from international organizations,
OA,Annual population,300,Greece,513,Total Population - Female,3010,Population - Est. & Proj.,2017,2017,1000 persons,5448.855,X,Figure from international organizations,
OA,Annual population,300,Greece,513,Total Population - Female,3010,Population - Est. & Proj.,2018,2018,1000 persons,5420.773,X,Figure from international organizations,
OA,Annual population,300,Greece,513,Total Population - Female,3010,Population - Est. & Proj.,2019,2019,1000 persons,5391.864,X,Figure from international organizations,
OA,Annual population,300,Greece,513,Total Population - Female,3010,Population - Est. & Proj.,2020,2020,1000 persons,5361.245,X,Figure from international organizations,
OA,Annual population,348,Hungary,513,Total Population - Female,3010,Population - Est. & Proj.,2015,2015,1000 persons,5151.713,X,Figure from international organizations,
OA,Annual population,348,Hungary,513,Total Population - Female,3010,Population - Est. & Proj.,2016,2016,1000 persons,5132.846,X,Figure from international organizations,
OA,Annual population,348,Hungary,513,Total Population - Female,3010,Population - Est. & Proj.,2017,2017,1000 persons,5115.164,X,Figure from international organizations,
OA,Annual population,348,Hungary,513,Total Population - Female,3010,Population - Est. & Proj.,2018,2018,1000 persons,5102.34,X,Figure from international organizations,
OA,Annual population,348,Hungary,513,Total Population - Female,3010,Population - Est. & Proj.,2019,2019,1000 persons,5093.203,X,Figure from international organizations,
OA,Annual population,348,Hungary,513,Total Population - Female,3010,Population - Est. & Proj.,2020,2020,1000 persons,5078.065,X,Figure from international organizations,
OA,Annual population,372,Ireland,513,Total Population - Female,3010,Population - Est. & Proj.,2015,2015,1000 persons,2357.72,X,Figure from international organizations,
OA,Annual population,372,Ireland,513,Total Population - Female,3010,Population - Est. & Proj.,2016,2016,1000 persons,2381.941,X,Figure from international organizations,
OA,Annual population,372,Ireland,513,Total Population - Female,3010,Population - Est. & Proj.,2017,2017,1000 persons,2409.471,X,Figure from international organizations,
OA,Annual population,372,Ireland,513,Total Population - Female,3010,Population - Est. & Proj.,2018,2018,1000 persons,2440.194,X,Figure from international organizations,
OA,Annual population,372,Ireland,513,Total Population - Female,3010,Population - Est. & Proj.,2019,2019,1000 persons,2470.88,X,Figure from international organizations,
OA,Annual population,372,Ireland,513,Total Population - Female,3010,Population - Est. & Proj.,2020,2020,1000 persons,2495.802,X,Figure from international organizations,
OA,Annual population,380,Italy,513,Total Population - Female,3010,Population - Est. & Proj.,2015,2015,1000 persons,31022.09,X,Figure from international organizations,
OA,Annual population,380,Italy,513,Total Population - Female,3010,Population - Est. & Proj.,2016,2016,1000 persons,30932.147,X,Figure from international organizations,
OA,Annual population,380,Italy,513,Total Population - Female,3010,Population - Est. & Proj.,2017,2017,1000 persons,30836.027,X,Figure from international organizations,
OA,Annual population,380,Italy,513,Total Population - Female,3010,Population - Est. & Proj.,2018,2018,1000 persons,30733.417,X,Figure from international organizations,
OA,Annual population,380,Italy,513,Total Population - Female,3010,Population - Est. & Proj.,2019,2019,1000 persons,30637.674,X,Figure from international organizations,
OA,Annual population,380,Italy,513,Total Population - Female,3010,Population - Est. & Proj.,2020,2020,1000 persons,30512.662,X,Figure from international organizations,
OA,Annual population,428,Latvia,513,Total Population - Female,3010,Population - Est. & Proj.,2015,2015,1000 persons,1079.334,X,Figure from international organizations,
OA,Annual population,428,Latvia,513,Total Population - Female,3010,Population - Est. & Proj.,2016,2016,1000 persons,1067.676,X,Figure from international organizations,
OA,Annual population,428,Latvia,513,Total Population - Female,3010,Population - Est. & Proj.,2017,2017,1000 persons,1055.969,X,Figure from international organizations,
OA,Annual population,428,Latvia,513,Total Population - Female,3010,Population - Est. & Proj.,2018,2018,1000 persons,1043.956,X,Figure from international organizations,
OA,Annual population,428,Latvia,513,Total Population - Female,3010,Population - Est. & Proj.,2019,2019,1000 persons,1032.054,X,Figure from international organizations,
OA,Annual population,428,Latvia,513,Total Population - Female,3010,Population - Est. & Proj.,2020,2020,1000 persons,1019.942,X,Figure from international organizations,
OA,Annual population,440,Lithuania,513,Total Population - Female,3010,Population - Est. & Proj.,2015,2015,1000 persons,1591.623,X,Figure from international organizations,
OA,Annual population,440,Lithuania,513,Total Population - Female,3010,Population - Est. & Proj.,2016,2016,1000 persons,1572.44,X,Figure from international organizations,
OA,Annual population,440,Lithuania,513,Total Population - Female,3010,Population - Est. & Proj.,2017,2017,1000 persons,1553.501,X,Figure from international organizations,
OA,Annual population,440,Lithuania,513,Total Population - Female,3010,Population - Est. & Proj.,2018,2018,1000 persons,1534.882,X,Figure from international organizations,
OA,Annual population,440,Lithuania,513,Total Population - Female,3010,Population - Est. & Proj.,2019,2019,1000 persons,1517.198,X,Figure from international organizations,
OA,Annual population,440,Lithuania,513,Total Population - Female,3010,Population - Est. & Proj.,2020,2020,1000 persons,1499.068,X,Figure from international organizations,
OA,Annual population,442,Luxembourg,513,Total Population - Female,3010,Population - Est. & Proj.,2015,2015,1000 persons,283.856,X,Figure from international organizations,
OA,Annual population,442,Luxembourg,513,Total Population - Female,3010,Population - Est. & Proj.,2016,2016,1000 persons,290.447,X,Figure from international organizations,
OA,Annual population,442,Luxembourg,513,Total Population - Female,3010,Population - Est. & Proj.,2017,2017,1000 persons,296.69,X,Figure from international organizations,
OA,Annual population,442,Luxembourg,513,Total Population - Female,3010,Population - Est. & Proj.,2018,2018,1000 persons,302.279,X,Figure from international organizations,
OA,Annual population,442,Luxembourg,513,Total Population - Female,3010,Population - Est. & Proj.,2019,2019,1000 persons,308.142,X,Figure from international organizations,
OA,Annual population,442,Luxembourg,513,Total Population - Female,3010,Population - Est. & Proj.,2020,2020,1000 persons,313.197,X,Figure from international organizations,
OA,Annual population,470,Malta,513,Total Population - Female,3010,Population - Est. & Proj.,2015,2015,1000 persons,225.92,X,Figure from international organizations,
OA,Annual population,470,Malta,513,Total Population - Female,3010,Population - Est. & Proj.,2016,2016,1000 persons,230.237,X,Figure from international organizations,
OA,Annual population,470,Malta,513,Total Population - Female,3010,Population - Est. & Proj.,2017,2017,1000 persons,234.787,X,Figure from international organizations,
OA,Annual population,470,Malta,513,Total Population - Female,3010,Population - Est. & Proj.,2018,2018,1000 persons,239.438,X,Figure from international organizations,
OA,Annual population,470,Malta,513,Total Population - Female,3010,Population - Est. & Proj.,2019,2019,1000 persons,244,X,Figure from international organizations,
OA,Annual population,470,Malta,513,Total Population - Female,3010,Population - Est. & Proj.,2020,2020,1000 persons,248.447,X,Figure from international organizations,
OA,Annual population,528,Netherlands,513,Total Population - Female,3010,Population - Est. & Proj.,2015,2015,1000 persons,8591.496,X,Figure from international organizations,
OA,Annual population,528,Netherlands,513,Total Population - Female,3010,Population - Est. & Proj.,2016,2016,1000 persons,8629.782,X,Figure from international organizations,
OA,Annual population,528,Netherlands,513,Total Population - Female,3010,Population - Est. & Proj.,2017,2017,1000 persons,8667.528,X,Figure from international organizations,
OA,Annual population,528,Netherlands,513,Total Population - Female,3010,Population - Est. & Proj.,2018,2018,1000 persons,8703.442,X,Figure from international organizations,
OA,Annual population,528,Netherlands,513,Total Population - Female,3010,Population - Est. & Proj.,2019,2019,1000 persons,8738.999,X,Figure from international organizations,
OA,Annual population,528,Netherlands,513,Total Population - Female,3010,Population - Est. & Proj.,2020,2020,1000 persons,8772.631,X,Figure from international organizations,
OA,Annual population,616,Poland,513,Total Population - Female,3010,Population - Est. & Proj.,2015,2015,1000 persons,19892.982,X,Figure from international organizations,
